FLPID,OLD ID,LA-LB distance (A),H2,E_H2,H_H2,G_H2,E_H2_sol,H_H2_sol,G_H2_sol
0BN17031,120,4.637,H2,-9.4,-2.5,6.7,-20.2,-13.3,-4.1
0BP15041,122,3.262,H2,21.5,24.9,33.2,19.9,23.2,31.5
0BP15042,123,3.257,H2,29.5,32.5,41.3,25.7,28.7,37.5
0BP15043,124,3.255,H2,27.6,30.7,40.1,24.2,27.3,36.7
0BP15044,125,3.052,H2,16.7,19.4,30.9,12.9,15.6,27.1
0BP15045,126,3.267,H2,17.8,21.3,29.9,12.4,15.8,24.5
0BP15046,127,3.238,H2,21.7,24.7,34.1,17.8,20.8,30.2
0BN13011,129,3.056,H2,1.9,8,17.7,-2.5,3.7,13.4
0BN13012,130,3.035,H2,2.1,8,18.5,-1.9,4,14.6
0BP16071,131,2.081,H2,7.7,11.3,14.9,1.9,5.5,9.1
0BP16072,132,2.061,H2,2.9,6,10.8,-2.6,0.5,5.3
0BP16073,133,1.989,H2,22,25.9,29.6,16.8,20.6,24.3
0BN15031,134,1.62,H2,-3,2.8,9.2,-8,-2.2,4.2
0BN15032,135,1.642,H2,-2.7,3.1,11.1,-8.1,-2.3,5.7
0BN15033,136,1.602,H2,-9.5,-3.6,6,-11.6,-5.7,3.9
0BN15034,137,1.601,H2,-9.7,-3.8,4.9,-12.3,-6.4,2.3
0BN15035,138,1.654,H2,7,11.7,17.1,2.2,6.9,12.4
0BN15036,139,7.58,H2,2.1,8.5,20.2,-7.3,-0.9,10.8
0BP12021,140,7.449,H2,1.3,5.7,15.5,-10.5,-6.1,3.6
0BN13021,141,3.606,H2,-16.6,-9.2,2.5,-23.8,-16.4,-4.7
0BP14021,148,3.445,H2,-19.4,-15.1,-5.1,-23.2,-18.9,-8.9
0BP14022,149,2.09,H2,-9.9,-5.7,-0.3,-13.7,-9.6,-4.1
0BP14023,150,2.033,H2,1.7,5.7,12.9,-1.3,2.7,9.9
0BP14024,151,2.035,H2,0.2,4.3,11.8,-2.9,1.2,8.8
0BP13071,152,2.792,H2,-2.6,1.7,10.9,-6.1,-1.7,7.5
0BP13072,153,3.646,H2,12.5,16.5,26.7,8.2,12.3,22.5
0BP07021,154,4.352,H2,41,44.7,49.1,47.7,51.4,55.8
0BP07022,155,4.426,H2,53.2,56.6,60.4,59.5,62.9,66.7
0BP07023,156,4.394,H2,47,50.6,53.4,51.5,55,57.8
0AP12011,157,3.342,H2,3.6,6.2,15.9,-0.7,1.9,11.6
