flp_code,flp_id,la_lb_distance_A,E_gas_kcal_mol,H_gas_kcal_mol,G_gas_kcal_mol,E_sol_kcal_mol,H_sol_kcal_mol,G_sol_kcal_mol
0BP18031,112,3.542,-5.2,-4.1,9.5,6.2,7.3,22.8
0BP17041,113,3.183,-5.3,-3.3,11.6,-8.4,-7.4,6.3
0BN13031,114,2.807,-14.1,-11.9,2.1,-7.9,-5.9,9.0
0BN17021,115,1.719,-2.7,-0.7,11.6,-19.4,-17.2,-3.2
0BN17031,120,4.637,-4.1,-3.2,5.4,-5.7,-3.6,8.7
0BP15041,122,3.262,3.9,4.2,15.4,-3.8,-2.9,5.7
0BP15042,123,3.257,-6.0,-5.0,3.8,0.9,1.2,12.4
0BP15043,124,3.255,-4.0,-3.0,4.3,-5.7,-4.7,4.1
0BP15044,125,3.052,-0.6,0.2,13.6,-3.6,-2.7,4.7
0BP15045,126,3.267,-6.1,-5.3,2.7,-3.7,-2.9,10.5
0BP15046,127,3.238,1.1,1.7,14.8,-6.3,-5.5,2.6
0BN13011,129,3.056,4.2,6.4,22.0,-2.0,-1.4,11.8
0BN13012,130,3.035,1.7,3.7,18.2,0.6,2.8,18.3
0BP16071,131,2.081,13.8,14.0,21.9,-0.6,1.4,15.9
0BP16072,132,2.061,5.8,6.0,14.4,9.5,9.7,17.6
0BP16073,133,1.989,18.6,19.2,28.7,0.8,1.0,9.4
0BN15031,134,1.62,-4.0,-2.3,10.0,15.5,16.1,25.7
0BN15032,135,1.642,-6.8,-5.2,7.5,-7.0,-5.3,7.1
0BN15033,136,1.602,-8.9,-6.9,6.2,-10.3,-8.7,3.9
0BN15034,137,1.601,-7.8,-5.9,7.1,-12.3,-10.3,2.7
0BN15035,138,1.654,11.0,12.1,22.4,-10.7,-8.7,4.3
0BN15036,139,7.58,-3.8,-2.7,5.4,6.2,7.3,17.6
0BP12021,140,7.449,-4.2,-3.4,3.0,-3.6,-2.6,5.6
0BN13021,141,3.606,-2.5,-1.5,6.9,-3.9,-3.0,3.4
0BP14021,148,3.445,-16.4,-14.5,2.9,-2.6,-1.6,6.7
0BP14022,149,2.09,-3.4,-2.5,10.0,-18.7,-16.8,0.6
0BP14023,150,2.033,3.5,4.6,17.8,-6.2,-5.3,7.2
0BP14024,151,2.035,-2.4,-1.2,11.6,0.9,2.0,15.2
0BP13071,152,2.792,-5.0,-4.0,9.5,-4.9,-3.7,9.1
0BP13072,153,3.646,3.4,4.6,17.3,-7.6,-6.6,6.8
0BP07021,154,4.352,-8.5,-7.2,3.6,0.8,1.9,14.7
0BP07022,155,4.426,11.9,11.0,18.5,-8.3,-6.9,3.9
0BP07023,156,4.394,11.0,10.9,18.2,12.9,12.0,19.4
0AP12011,157,3.342,-24.9,-23.7,-10.6,11.1,11.0,18.4
