FLPID,OLD ID,LA-LB distance (A),CH3OH,E_CH3OH,H_CH3OH,G_CH3OH,E_CH3OH_sol,H_CH3OH_sol,G_CH3OH_sol
0BP14021,148,3.445,CH3OH,-19.6,-18.4,-5.4,-12.5,-10.2,5.4
0BP14022,149,2.09,CH3OH,-11.5,-11.7,-1.1,-19.2,-18,-4.9
0BP14023,150,2.033,CH3OH,-9.6,-8.7,4.2,-11,-11.2,-0.6
0BP14024,151,2.035,CH3OH,-11.3,-11.1,2.7,-7.9,-7.1,5.9
0BP13071,152,2.792,CH3OH,-15,-13.3,0.1,-11,-10.8,3
0BP13072,153,3.646,CH3OH,-17.5,-15.5,-2.8,-14.5,-12.8,0.6
0BP07021,154,4.352,CH3OH,-8.2,-6.8,3.5,-16.8,-14.8,-2
0BP07022,155,4.426,CH3OH,-7.8,-6.3,3.4,-5.5,-4,6.2
0BP07023,156,4.394,CH3OH,-6.4,-5.2,4.6,-4.7,-3.2,6.5
0AP12011,157,3.342,CH3OH,-24.3,-22.7,-10.4,-7.1,-5.9,3.9
